len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
71,158,87,87,1.2253521126760563,157,86,86,1.2112676056338028,149,78,78,1.0985915492957747,150,79,79,1.1126760563380282
96,256,160,160,1.6666666666666667,279,183,183,1.90625,164,68,68,0.7083333333333334,218,122,122,1.2708333333333333
69,204,135,135,1.9565217391304348,197,128,128,1.855072463768116,177,108,108,1.565217391304348,164,95,95,1.3768115942028984
89,221,132,132,1.4831460674157304,224,135,135,1.5168539325842696,202,113,113,1.2696629213483146,199,110,110,1.2359550561797752
89,198,109,109,1.2247191011235956,190,101,101,1.1348314606741574,199,110,110,1.2359550561797752,184,95,95,1.0674157303370786
66,133,67,67,1.0151515151515151,161,95,95,1.4393939393939394,154,88,88,1.3333333333333333,129,63,63,0.9545454545454546
82,221,139,139,1.6951219512195121,241,159,159,1.9390243902439024,258,176,176,2.1463414634146343,237,155,155,1.8902439024390243
74,185,111,111,1.5,151,77,77,1.0405405405405406,180,106,106,1.4324324324324325,140,66,66,0.8918918918918919
88,266,178,178,2.022727272727273,189,101,101,1.1477272727272727,238,150,150,1.7045454545454546,261,173,173,1.9659090909090908
57,195,138,138,2.4210526315789473,175,118,118,2.0701754385964914,224,167,167,2.9298245614035086,144,87,87,1.5263157894736843
98,303,205,205,2.0918367346938775,220,122,122,1.2448979591836735,294,196,196,2.0,252,154,154,1.5714285714285714
114,312,198,198,1.736842105263158,307,193,193,1.6929824561403508,238,124,124,1.087719298245614,263,149,149,1.3070175438596492
98,311,213,213,2.173469387755102,248,150,150,1.530612244897959,309,211,211,2.1530612244897958,279,181,181,1.846938775510204
44,97,53,53,1.2045454545454546,106,62,62,1.4090909090909092,120,76,76,1.7272727272727273,108,64,64,1.4545454545454546
96,276,180,180,1.875,204,108,108,1.125,210,114,114,1.1875,195,99,99,1.03125
80,215,135,135,1.6875,203,123,123,1.5375,196,116,116,1.45,188,108,108,1.35
107,304,197,197,1.841121495327103,261,154,154,1.439252336448598,299,192,192,1.794392523364486,248,141,141,1.3177570093457944
46,105,59,59,1.2826086956521738,90,44,44,0.9565217391304348,104,58,58,1.2608695652173914,70,24,24,0.5217391304347826
47,145,98,98,2.0851063829787235,116,69,69,1.4680851063829787,123,76,76,1.6170212765957446,102,55,55,1.1702127659574468
76,200,124,124,1.631578947368421,180,104,104,1.368421052631579,192,116,116,1.5263157894736843,170,94,94,1.236842105263158
52,161,109,109,2.0961538461538463,136,84,84,1.6153846153846154,128,76,76,1.4615384615384615,127,75,75,1.4423076923076923
51,129,78,78,1.5294117647058822,123,72,72,1.411764705882353,122,71,71,1.392156862745098,90,39,39,0.7647058823529411
38,131,93,93,2.4473684210526314,159,121,121,3.1842105263157894,111,73,73,1.9210526315789473,90,52,52,1.368421052631579
73,255,182,182,2.493150684931507,234,161,161,2.2054794520547945,188,115,115,1.5753424657534247,192,119,119,1.63013698630137
74,256,182,182,2.4594594594594597,255,181,181,2.445945945945946,230,156,156,2.108108108108108,215,141,141,1.9054054054054055
85,198,113,113,1.3294117647058823,229,144,144,1.6941176470588235,226,141,141,1.6588235294117648,230,145,145,1.7058823529411764
89,202,113,113,1.2696629213483146,208,119,119,1.3370786516853932,171,82,82,0.9213483146067416,166,77,77,0.8651685393258427
82,147,65,65,0.7926829268292683,158,76,76,0.926829268292683,178,96,96,1.170731707317073,162,80,80,0.975609756097561
90,222,132,132,1.4666666666666666,216,126,126,1.4,204,114,114,1.2666666666666666,154,64,64,0.7111111111111111
52,142,90,90,1.7307692307692308,142,90,90,1.7307692307692308,116,64,64,1.2307692307692308,103,51,51,0.9807692307692307
83,225,142,142,1.7108433734939759,211,128,128,1.5421686746987953,158,75,75,0.9036144578313253,185,102,102,1.2289156626506024
103,243,140,140,1.3592233009708738,257,154,154,1.4951456310679612,242,139,139,1.3495145631067962,210,107,107,1.0388349514563107
59,159,100,100,1.694915254237288,138,79,79,1.3389830508474576,143,84,84,1.423728813559322,124,65,65,1.1016949152542372
52,123,71,71,1.3653846153846154,122,70,70,1.3461538461538463,113,61,61,1.1730769230769231,128,76,76,1.4615384615384615
47,186,139,139,2.9574468085106385,138,91,91,1.9361702127659575,150,103,103,2.1914893617021276,137,90,90,1.9148936170212767
